tinh,huyen,xa,Ho,x,y,prop.ho,songuoi,danso,pro.pop,area_km,songuoi_km,danso_km,distm_km,rank,geometry
Ha Noi,Dong Anh,Xa Viet Hung,Mai,105.8786275,21.13976887,0.783630031,43,19594,0.219454935,8.72928376,4.925948243,2244.628602,12.63971179,200,
Ha Noi,Hoai Duc,Xa Van Canh,Mai,105.7290169,21.03085789,0.783630031,119,14042,0.847457627,4.517168207,26.34393818,3108.584705,12.63995455,201,
Hung Yen,Van Giang,Xa Cuu Cao,Mai,105.9488089,20.96056689,0.783630031,8,6682,0.119724633,4.291335491,1.864221527,1557.09103,12.69485895,202,
Ha Noi,Thanh Tri,Xa Dong My,Mai,105.8770074,20.91516982,0.783630031,26,8908,0.291872474,2.818360166,9.225222637,3160.703202,12.86433037,203,
Ha Noi,Ha Dong,Phuong Phu Luong,Mai,105.7705793,20.93907362,0.783630031,84,26720,0.314371257,6.967329029,12.05627001,3835.042078,12.94785717,204,
Ha Noi,Bac Tu Liem,Phuong Tay Tuu,Mai,105.7340771,21.0706651,0.783630031,43,20045,0.214517336,5.530053076,7.775693905,3624.73917,12.97151012,205,
Bac Ninh,Tu Son,Phuong Dinh Bang,Mai,105.9489039,21.10156353,0.783630031,33,20655,0.159767611,8.237651368,4.005996191,2507.389434,13.01938068,206,
Bac Ninh,Tu Son,Phuong Chau Khe,Mai,105.9284873,21.12137206,0.783630031,15,15435,0.09718173,4.938159735,3.037568812,3125.658307,13.07077825,207,
Hung Yen,Van Giang,Thi tran Van Giang,Mai,105.929501,20.9364712,0.783630031,25,11100,0.225225225,6.938927121,3.602862455,1599.67093,13.09783673,208,
Ha Noi,Dong Anh,Xa Kim No,Mai,105.7969725,21.13579111,0.783630031,29,14501,0.199986208,6.507299618,4.456533694,2228.42052,13.10265966,209,
Ha Noi,Thanh Tri,Xa Lien Ninh,Mai,105.8547405,20.90983135,0.783630031,100,15815,0.632311097,4.195746172,23.83366293,3769.293792,13.16574644,210,
Ha Noi,Dong Anh,Xa Tien Duong,Mai,105.8329239,21.14689489,0.783630031,34,18890,0.179989412,9.824475576,3.460744519,1922.74894,13.21650719,211,
Ha Noi,Thanh Tri,Xa Van Phuc,Mai,105.9006953,20.91775661,0.783630031,26,13103,0.198427841,5.358055021,4.852507094,2445.47694,13.34072665,212,
Ha Noi,Hoai Duc,Xa La Phu,Mai,105.7323299,20.97918369,0.783630031,22,11814,0.186219739,3.526807865,6.237935505,3349.771366,13.46141142,213,
Ha Noi,Thanh Oai,Xa Cu Khe,Mai,105.7846229,20.92299173,0.783630031,159,16392,0.969985359,5.782926596,27.49472907,2834.550937,13.56413765,214,
Ha Noi,Hoai Duc,Xa Di Trach,Mai,105.7202587,21.04590096,0.783630031,33,10126,0.325893739,2.836251973,11.63507344,3570.204656,13.68088027,215,
Ha Noi,Dong Anh,Xa Van Noi,Mai,105.8128993,21.14725227,0.783630031,18,12745,0.141231856,6.759602467,2.662878488,1885.465907,13.69973188,216,
Ha Noi,Hoai Duc,Xa An Khanh,Mai,105.7213987,21.00133041,0.783630031,270,40220,0.671307807,8.525772707,31.6686838,4717.460972,13.76804144,217,
